# Gene set generated on 2025-03-05T19:18:45 using cellxgene version 1.3.0
# Input data file was data/lmna_inhouse.h5ad, which was last modified on 2025-02-19T22:38:45
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop2 high (3/5/2025, 7:18:45 PM)",,HP,
"Pop2 high (3/5/2025, 7:18:45 PM)",,RAI14,
"Pop2 high (3/5/2025, 7:18:45 PM)",,RP11-150C16.1,
"Pop2 high (3/5/2025, 7:18:45 PM)",,COLQ,
"Pop2 high (3/5/2025, 7:18:45 PM)",,HOMER1,
"Pop2 high (3/5/2025, 7:18:45 PM)",,KRT18,
"Pop2 high (3/5/2025, 7:18:45 PM)",,AC067956.1,
"Pop2 high (3/5/2025, 7:18:45 PM)",,SCN2A,
"Pop2 high (3/5/2025, 7:18:45 PM)",,DIPK2B,
"Pop2 high (3/5/2025, 7:18:45 PM)",,PVT1,
"Pop2 high (3/5/2025, 7:18:45 PM)",,COL5A3,
"Pop1 high (3/5/2025, 7:18:41 PM)",,IRAG1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,LINC01876,
"Pop1 high (3/5/2025, 7:18:41 PM)",,KC6,
"Pop1 high (3/5/2025, 7:18:41 PM)",,PKD1L1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,RAPGEF5,
"Pop1 high (3/5/2025, 7:18:41 PM)",,CTD-2134P3.1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,NPPA,
"Pop1 high (3/5/2025, 7:18:41 PM)",,STXBP5-AS1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,FGF7,
"Pop1 high (3/5/2025, 7:18:41 PM)",,BUB1B,
"Pop1 high (3/5/2025, 7:18:41 PM)",,ITGAX,
"Pop1 high (3/5/2025, 7:18:41 PM)",,AOAH,
"Pop1 high (3/5/2025, 7:18:41 PM)",,GRM5,
"Pop1 high (3/5/2025, 7:18:41 PM)",,LINC01885,
"Pop1 high (3/5/2025, 7:18:41 PM)",,RP11-125O5.2,
"Pop1 high (3/5/2025, 7:18:41 PM)",,MYOM1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,FAM107B,
"Pop1 high (3/5/2025, 7:18:41 PM)",,FCGBP,
"Pop1 high (3/5/2025, 7:18:41 PM)",,HCRTR2,
"Pop1 high (3/5/2025, 7:18:41 PM)",,MUC16,
